client,τ,θ*,final_pnl
Client A,5,0.47000000000000003,10385.424268999985
Client A,10,0.46,12279.3351890001
Client A,15,0.48,13489.908455000019
Client A,20,0.55,16405.54596100007
Client A,25,0.5,18453.294555000077
Client A,30,0.46,18954.601067000054
Client B,5,0.46,8556.21262100003
Client B,10,0.49,9556.478905000113
Client B,15,0.51,10747.321205000142
Client B,20,0.48,11090.093361000032
Client B,25,0.54,12692.091720000035
Client B,30,0.55,13855.356578000094
Client C,5,0.46,8151.74471699998
Client C,10,0.48,8819.573464999976
Client C,15,0.51,8932.868808999978
Client C,20,0.55,9004.354312999898
Client C,25,0.48,9342.255936999962
Client C,30,0.49,9693.121159000033
Client D,5,0.52,4590.830587000011
Client D,10,0.52,3321.955156999969
Client D,15,0.51,1854.927367999967
Client D,20,0.52,-308.829492000058
Client D,25,0.43,64.17162800000945
Client D,30,0.48,191.49831900000706
Client E,5,0.5,3375.3480480000417
Client E,10,0.51,1650.3645770000571
Client E,15,0.47000000000000003,-105.84643400000591
Client E,20,0.0,0.0
Client E,25,0.0,0.0
Client E,30,0.46,169.0546449999999
Client F,5,0.54,2145.4898420000445
Client F,10,0.49,-147.19393299998063
Client F,15,0.0,0.0
Client F,20,0.44,0.016398000001942137
Client F,25,0.0,0.0
Client F,30,0.54,-41.46676699999915
